Date,Type,Category,Amount (INR),Notes / Description
2026-06-28,Income,Salary,20000.0,
2026-06-25,Expense,Others,850.0,Laundry services
2026-06-23,Expense,Food,1950.0,Dinner date with office colleagues
2026-06-21,Expense,Health & Fitness,1500.0,Gym monthly access pass
2026-06-19,Expense,Travel,3100.0,Petrol and highway tolls for weekend getaway
2026-06-16,Expense,Shopping,5800.0,Zara summer jackets and clothes
2026-06-15,Income,Freelance,12000.0,Web Development Freelance Gig
2026-06-12,Expense,Entertainment,2500.0,Concert tickets and beverages
2026-06-10,Expense,Bills & Utilities,649.0,Netflix monthly premium renewal
2026-06-07,Expense,Bills & Utilities,3200.0,Electricity and optical fiber internet bill
2026-06-04,Expense,Food,4200.0,Weekly organic grocery shopping
2026-06-02,Expense,Rent,16000.0,Apartment monthly rent payment
2026-06-01,Income,Salary,85000.0,Monthly Corporate Salary
2026-05-15,Expense,Shopping,6800.0,Winter jackets
2026-05-07,Expense,Bills & Utilities,2800.0,Internet
2026-05-05,Expense,Food,3800.0,Groceries
2026-05-02,Expense,Rent,16000.0,Rent
2026-05-01,Income,Salary,85000.0,Salary
